,sgName,Veri_growthrate,Veri_D0_Freq,Veri_pvalue,Veri_padj
0,BCRABL_1776,0.053798254214627146,0.019474965657294736,0.01402869675302928,0.0233811612550488
1,BCRABL_1782,0.056686127757998174,0.03562577493141399,8.337422951817118e-31,8.337422951817119e-30
2,BCRABL_1792,0.05449690488111816,0.04836361054425809,0.048993434467700527,0.07537451456569312
3,BCRABL_1800,0.054557322863750216,0.025171722008247178,0.281165411220051,0.40166487317150146
4,BCRABL_1808,0.05673687600233795,0.06494385067084694,1.7254567942895546e-12,6.901827177158218e-12
5,BCRABL_1811,0.0538903806003651,0.0440025997959108,9.167596054760167e-12,3.055865351586722e-11
6,BCRABL_1817,0.05485508016863872,0.016548473451706534,0.3304131670411504,0.424094713934646
7,BCRABL_1824,0.055398099513000114,0.08776250345823397,0.00016468511673966204,0.0003415306260440258
8,BCRABL_1829,0.05488859294879976,0.042443111995567134,0.7660313174065039,0.7660313174065039
9,BCRABL_1831,0.05382133166492387,0.05258804383614346,5.19469880386186e-09,1.4841996582462458e-08
10,BCRABL_1833,0.05654999944872281,0.07432260346784259,8.892924929480784e-15,4.4464624647403915e-14
11,BCRABL_1838,0.055045866851041736,0.12629571325114988,0.7306426698715871,0.7660313174065039
12,BCRABL_1840,0.05662983956329307,0.060931737134794065,7.75519337856006e-26,5.17012891904004e-25
13,BCRABL_1855,0.054024772031344204,0.018647948523617872,1.3813901511588647e-08,3.4534753778971615e-08
14,BCRABL_1861,0.05580154478223003,0.016470217091590834,0.0001707653130220129,0.0003415306260440258
15,BCRABL_1863,0.05506306372985109,0.05096377765191652,0.6529562083306879,0.7660313174065039
16,BCRABL_1869,0.05487564347191153,0.04917865241746906,0.3392757711477168,0.424094713934646
17,BCRABL_1873,0.053825473413352434,0.027898880957753516,0.0035334869890644174,0.006424521798298941
18,BCRABL_1874,0.05492748955852344,0.07163236807626235,0.7388132833031933,0.7660313174065039
19,BCRABL_1879,0.05682310428743613,0.06673344507798051,2.1687424012244027e-38,4.3374848024488055e-37
