sgName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ABE_growthrate,Library
BCRABL_3149,248.79140309350586,-0.20671270916285447,0.6590005430127802,-0.3136760832059673,0.7537670674564055,0.9999595214578456,0.054336655872490085,BCR-ABL
BCRABL_332,455.38526842187264,0.03138879463050094,0.598106057427764,0.05248031555723194,0.958145979627621,0.9999595214578456,0.05510072710416346,BCR-ABL
BCRABL_467,42.096878917025045,0.11853376849760802,1.018163439187151,0.11641919551957124,0.9073203230088565,0.9999595214578456,0.05538037660849658,BCR-ABL
BCRABL_691,303.89634298072497,0.2004503266874988,0.5211251568166008,0.38464910792637697,0.7004974053223537,0.9999595214578456,0.05564324804993407,BCR-ABL
BCRABL_335,892.2308037584531,-0.0238130083698282,0.35749403961069204,-0.0666109241870448,0.9468914488196135,0.9999595214578456,0.05492358370549909,BCR-ABL
BCRABL_573,524.3574973867704,-0.05694796440389335,0.4045467808155027,-0.1407697875857403,0.8880518113690095,0.9999595214578456,0.05481725314367969,BCR-ABL
BCRABL_338,122.82945522076939,0.003610461079935657,0.44767378633728366,0.008064937439100993,0.9935651806904662,0.9999595214578456,0.05501158602276887,BCR-ABL
BCRABL_337,142.54407279384495,-0.21347742397874359,0.8705476933994852,-0.24522197416331679,0.8062845628088426,0.9999595214578456,0.05431494780303673,BCR-ABL
BCRABL_1146,1557.39470954287,-0.09948036549394623,0.3165302553164176,-0.31428390753516205,0.7533054193978771,0.9999595214578456,0.05468076604229998,BCR-ABL
BCRABL_357,1255.4423294000262,-0.08288794641085588,0.2420968417171673,-0.3423751661646655,0.7320685749900018,0.9999595214578456,0.05473401135945792,BCR-ABL
BCRABL_500,370.18042909281786,0.08067008187799436,0.5102069595656862,0.15811246860816008,0.8743681756723443,0.9999595214578456,0.05525887148059847,BCR-ABL
BCRABL_1147,139.2713837164724,-0.28447816192982134,0.6271498998604353,-0.45360473148943903,0.6501133473936264,0.9999595214578456,0.054087105389479015,BCR-ABL
BCRABL_690,502.1047327043666,0.010479236417644231,0.4103199363323753,0.02553918415788512,0.9796248942325396,0.9999595214578456,0.05503362802396903,BCR-ABL
BCRABL_1864,83.42973024060647,-2.1583945458752924,1.0413080317721286,-2.072772397810159,0.0381934663875659,0.9999595214578456,0.04807368012032674,BCR-ABL
BCRABL_469,228.56055245887478,-0.05213763810298243,0.43989311130744724,-0.11852342481113037,0.9056529355945516,0.9999595214578456,0.05483268955161047,BCR-ABL
BCRABL_576,238.87617343460246,-0.1950643867701433,0.4285345300428167,-0.45518942604380924,0.6489729669943636,0.9999595214578456,0.054374035510567686,BCR-ABL
BCRABL_575,491.410892705075,0.06485649791947012,0.41165204839203706,0.157551743451314,0.8748100316633182,0.9999595214578456,0.05520812545682348,BCR-ABL
BCRABL_745,119.88453909995017,-0.005757172087877509,0.5982445276042337,-0.009623442960578392,0.9923217219552295,0.9999595214578456,0.054981525149996706,BCR-ABL
BCRABL_359,1182.6857536143998,-0.17208888272363723,0.4492245982849095,-0.38307982995733936,0.7016605743677509,0.9999595214578456,0.05444776424136295,BCR-ABL
BCRABL_501,407.1452831778626,0.059303996339453165,0.4075473773469089,0.14551436136214646,0.8843047777048604,0.9999595214578456,0.05519030739749365,BCR-ABL
BCRABL_468,291.185549259635,-0.48815535380613534,0.5171786142511708,-0.9438815534028633,0.3452301794651881,0.9999595214578456,0.053433502281639046,BCR-ABL
BCRABL_339,539.2410160885528,-0.27442241350265545,0.3589727113700257,-0.7644659463258849,0.444589622654487,0.9999595214578456,0.05411937443425083,BCR-ABL
BCRABL_262,867.8642451789749,-0.3225672789589105,0.3601309482219504,-0.8956944149107418,0.3704159941368821,0.9999595214578456,0.05396487685207748,BCR-ABL
BCRABL_673,270.3640259657023,0.12441592423605677,0.5971655875064598,0.20834409557250472,0.8349603036867753,0.9999595214578456,0.055399252532874914,BCR-ABL
BCRABL_2639,167.66851519911563,-0.3205914087900371,0.6059069259666541,-0.5291099920644922,0.5967291503153028,0.9999595214578456,0.053971217448543725,BCR-ABL
BCRABL_1716,876.7009362424576,-0.16344769707469947,0.34932983840598275,-0.46788931005872014,0.6398637484717126,0.9999595214578456,0.05447549393335026,BCR-ABL
BCRABL_264,493.6876370798689,-0.06644533451570625,0.5465637385386989,-0.12156923306576377,0.9032401811728541,0.9999595214578456,0.054786775943143864,BCR-ABL
BCRABL_3152,141.5854267191531,-0.32616508924924836,0.5608867927987315,-0.5815167934722424,0.5608922033092427,0.9999595214578456,0.0539533314258787,BCR-ABL
BCRABL_3047,1605.7537741106644,-0.05186601412942857,0.3460112494908961,-0.14989690134566916,0.8808459564646878,0.9999595214578456,0.05483356119694122,BCR-ABL
BCRABL_445,820.0860825624117,0.09414025616802985,0.3403502064676811,0.276598204963831,0.7820886431750806,0.9999595214578456,0.055302097468241024,BCR-ABL
BCRABL_358,74.5940854751827,0.008393042385913005,0.6672934359818875,0.012577738567985584,0.9899646811845695,0.9999595214578456,0.05502693339660238,BCR-ABL
BCRABL_2450,233.57229344915208,0.2834346730223019,0.5534272223682662,0.5121444366422879,0.6085499267024126,0.9999595214578456,0.055909546039251565,BCR-ABL
BCRABL_1360,137.59788129592084,0.549005337617952,0.5007818563311119,1.0962963827007248,0.2729490918975128,0.9999595214578456,0.05676176621241779,BCR-ABL
BCRABL_470,137.5057343387764,-0.015788851879855677,0.5877713208488103,-0.026862235906737905,0.9785696140210038,0.9999595214578456,0.05494933334182962,BCR-ABL
